score,min_a,max_a,min_b,max_b
0.944,0,599,100,100
0.917,0,599,50,99
0.917,600,799,100,100
0.889,0,699,1,49
0.889,600,799,50,99
0.889,800,999,100,100
0.861,600,799,1,49
0.861,800,999,50,99
0.861,1000,1299,100,100
0.833,800,999,1,49
0.833,1000,1299,50,99
0.833,1300,1599,100,100
0.806,1000,1299,1,49
0.806,1300,1599,50,99
0.806,1600,2099,100,100
0.778,1300,1599,1,49
0.778,1600,2099,50,99
0.778,2100,2599,100,100
0.750,1600,2099,1,49
0.750,2100,2599,50,99
0.750,2600,3099,100,100
0.722,2100,2599,1,49
0.722,2600,3099,50,99
0.722,3100,3499,100,100
0.694,2600,3099,1,49
0.694,3100,3499,50,99
0.694,3600,4099,100,100
0.667,3100,3499,1,49
0.667,3600,4099,50,99
0.667,4100,5099,100,100
0.639,3600,4099,1,49
0.639,4100,5099,50,99
0.639,5100,6099,100,100
0.611,4100,5099,1,49
0.611,5100,6099,50,99
0.611,6100,7099,100,100
0.583,5100,6099,1,49
0.583,6100,7099,50,99
0.583,7100,8099,100,100
0.556,6100,7099,1,49
0.556,7100,8099,50,99
0.556,8100,9099,100,100
0.528,7100,8099,1,49
0.528,8100,9099,50,99
0.528,9100,9999,100,100
0.500,8100,9099,1,49
0.500,9100,9999,50,99
0.500,10000,12099,100,100
0.472,9100,9999,1,49
0.472,10000,12099,50,99
0.472,12100,14099,100,100
0.444,10000,12099,1,49
0.444,12100,14099,50,99
0.444,14100,16099,100,100
0.417,12100,14099,1,49
0.417,14100,16099,50,99
0.417,16100,18099,100,100
0.389,14100,16099,1,49
0.389,16100,18099,50,99
0.389,18100,20099,100,100
0.361,16100,18099,1,49
0.361,18100,20099,50,99
0.361,20100,22099,100,100
0.333,18100,20099,1,49
0.333,20100,22099,50,99
0.333,22100,24099,100,100
0.306,20100,22099,1,49
0.306,22100,24099,50,99
0.306,24100,30099,100,100
0.278,22100,24099,1,49
0.278,24100,30099,50,99
0.278,31000,99999,100,100
0.250,24100,30099,1,49
0.250,31000,99999,50,99
0.222,31000,99999,1,49
